sequence,x,y,z
1,-24.143715697867258,-24.068915244117157,6.0
2,23.75871043377917,0.42737075416888715,57.77688584879806
3,37.430090226070675,94.47702970964495,57.77688584879806
4,44.03349932405756,101.6914595145742,64.08981445079762
5,39.32003115679114,130.67358853051067,25.732877022102002
6,62.09549739648834,130.81618937066247,18.257102715507912
7,54.03169556460705,130.76570003405573,4.289914470521411
8,73.83164218915246,123.33244155679948,2.251343529984948
9,86.4372583764302,133.5124557280389,10.186561023284819
10,125.94583447540076,102.4907618600316,19.955916073580248
11,101.04643170149885,90.42203809051932,57.77688584879806
12,98.19424087085338,76.24092464766896,49.25171440799823
13,62.626384026707484,65.48177545603657,16.9384118774362
14,47.88589914523143,57.79346702051535,2.2977919299298026
15,30.855208636429182,55.079946494581804,12.920927172543403
16,30.855208636429182,55.079946494581804,7.996842862983748
17,31.91688655606473,57.73414129367066,3.5040652082760326
18,23.581463041952535,58.79015404796795,4.987399813425029
19,23.581463041952535,58.79015404796795,9.480177468132744
20,14.395146279830207,54.12337268650632,5.736196089209647
21,16.735899258601073,48.378243561159834,6.672191433940421
22,16.735899258601073,48.378243561159834,9.480177468132744
23,16.735899258601073,48.378243561159834,12.288163502325066
24,14.395146279830207,54.12337268650632,13.22415884705584
25,13.99766151364323,60.13028937618145,22.543651651573118
26,0.5803336245100859,52.45912123667999,23.107129038006363
27,-18.143715697867258,77.58505741689626,20.55726378021201
28,29.391000216903166,68.10208972761154,6.909459340062211
29,51.68494222212085,69.21535867074572,21.841951480530835
30,55.79011060996386,58.88613556410855,28.757104793745917
31,65.31572460875458,57.734141293670675,25.64268586759237
32,76.5064642922946,45.33647352800959,57.77688584879806
33,84.50144714812473,33.60157425653688,56.1666222496735
34,119.8043622292937,43.527107820898635,13.512571045783854
35,131.17002659439822,42.17726367176333,2.4716067278657405
36,126.10750672739793,35.94964819691782,20.66280449885315
37,101.8218662931178,-12.690083514335047,23.43327902123634
38,64.51570688670118,-16.7130156398971,23.82651066529995
39,59.69363644680412,-14.199781657534952,30.810104787793193
40,49.735907359928845,-18.068915244117157,16.29526951815866
41,45.11905728985693,-6.734522254192566,16.29526951815866
42,-15.378846073517717,-1.521412311793421,4.533316375561893
43,-24.143715697867258,-24.068915244117157,6.0
