seed,step,coverage,weakest_building,weakest_region,region_gap,weakest_sector,quality,quality_norm,quality_good_fraction,weakest_quality_norm,route_length,forward_overlap,lateral_overlap,score
7,1000,0.95333331823349,0.9312977099236641,0.9202127456665039,0.040704403538256884,0.8659793734550476,0.8050571084022522,0.6709235310554504,0.95333331823349,0.0,1095.7696494186198,0.3194539608616895,0.7361772369464352,6.216886557852386
7,2000,0.9655555486679077,0.9491094147582697,0.9414893388748169,0.029795397305861115,0.907216489315033,0.8079190850257874,0.6733086705207825,0.9655555486679077,0.0,977.8991915501272,0.9202118283844661,0.6692772228781977,8.832741786412422
7,3000,0.9655555486679077,0.9491094147582697,0.9414893388748169,0.029795397305861115,0.907216489315033,0.8130662441253662,0.677598237991333,0.9655555486679077,0.0,1101.2849731119668,0.9167049447808844,0.7085638996513823,8.768843577905116
7,4000,0.9655555486679077,0.9491094147582697,0.9414893388748169,0.029795397305861115,0.907216489315033,0.8180242776870728,0.6817302107810974,0.9655555486679077,0.0,1102.798768636025,0.917410194813758,0.6806712201234404,8.772127654385319
7,5000,0.9900000095367432,0.9847328244274809,0.9811320900917053,0.008211843844037503,0.969072163105011,0.8328443765640259,0.6940810680389404,0.9900000095367432,0.0,993.1726357107838,0.9202806963204794,0.6235504460073311,8.956763767864038
7,6000,0.9777777791023254,0.9625246548323472,0.8970588445663452,0.02719899342628196,0.9487179517745972,0.824966549873352,0.6875157952308655,0.9766666889190674,0.0,1056.370641354096,0.9171231826780784,0.6130375111725104,8.848103623937321
17,1000,0.9433333277702332,0.9185750636132316,0.9095744490623474,0.049271240597590804,0.8453608155250549,0.7885116338729858,0.6571347713470459,0.9433333277702332,0.0,1094.3366894545857,0.8313970440062497,0.772905604113437,8.659109052596326
17,2000,0.9988889098167419,0.9974554707379135,0.9930555820465088,0.0008680555620230734,0.9941860437393188,0.8470129370689392,0.7058889865875244,0.9977777600288391,0.0,1019.0409246974697,0.9168317980804603,0.7269380005782049,8.981032052603146
17,3000,0.995555579662323,0.9949109414758269,0.9840425252914429,0.0031008755322545767,0.969072163105011,0.846685528755188,0.7056161165237427,0.9944444298744202,0.0,1165.5248199799355,0.9158149069650181,0.7192873675957174,8.88894847114888
17,4000,0.9988889098167419,0.9974554707379135,0.9930555820465088,0.0008680555620230734,0.9941860437393188,0.8275938630104065,0.6897053718566895,0.9977777600288391,0.0,993.006018027724,0.9179338023467053,0.6909092125435476,8.992363427600994
17,5000,0.9977777600288391,0.9960552268244576,0.9893617033958435,0.0013297871919348836,0.9743589758872986,0.8415666222572327,0.7013500928878784,0.996666669845581,0.0,1030.9736728936618,0.9196285599466275,0.6044197374768207,8.976332935899949
17,6000,0.9977777600288391,0.9960552268244576,0.9893617033958435,0.0013297871919348836,0.9743589758872986,0.830714225769043,0.692305862903595,0.996666669845581,0.0,1032.7091245267227,0.919469404111058,0.6647795301430482,8.966550992805384
29,1000,0.9688888788223267,0.9516539440203562,0.9414893388748169,0.02464152278844267,0.907216489315033,0.8147181272506714,0.6789749264717102,0.9688888788223267,0.0,1072.6721916504637,0.8891929889500042,0.6271281422375847,8.806830307760842
29,2000,0.9688888788223267,0.9516539440203562,0.9414893388748169,0.02464152278844267,0.907216489315033,0.8200209140777588,0.683394193649292,0.9688888788223267,0.0,1048.1673458957182,0.8927264008708002,0.6846080753888223,8.81439556162784
29,3000,0.9677777886390686,0.9491094147582697,0.9414893388748169,0.02633071201853454,0.907216489315033,0.8139753341674805,0.678355872631073,0.9677777886390686,0.0,1092.0089508813824,0.6977179509286461,0.6904805233444846,8.262802935345967
29,4000,0.9688888788223267,0.9516539440203562,0.9414893388748169,0.02464152278844267,0.907216489315033,0.8189504742622375,0.6825020909309387,0.9688888788223267,0.0,977.4929783954495,0.8877779884614254,0.6830325018198292,8.850099671105937
29,5000,0.9644444584846497,0.9618320610687023,0.9380530714988708,0.0317664499161765,0.9175257682800293,0.8262984156608582,0.6886257529258728,0.9644444584846497,0.0,1094.4794667904455,0.8863220566310466,0.6911380084937062,8.783750730548643
29,6000,0.9544444680213928,0.9338422391857506,0.9202127456665039,0.03901521395891905,0.8659793734550476,0.8067770600318909,0.6723569631576538,0.9544444680213928,0.0,1102.4225683701197,0.8866890092927022,0.7748603908927229,8.705199485299948
